species,area,M_method,data_input,data_input_values,M_estimate,references
aleutian skate,BS,jensen_k2.v1,VBGF k (cm-1),0.130,0.208,Haas 2011
aleutian skate,BS,jensen_k2.v4,VBGF k (cm-1),0.110,0.176,Ebert et al. 2007
aleutian skate,BS,frisk_k.v1,VBGF k (cm-1),0.130,0.185,Haas 2011
aleutian skate,BS,frisk_k.v4,VBGF k (cm-1),0.110,0.173,Ebert et al. 2007
aleutian skate,GOA,hamel_k.v1,VBGF k (cm-1),0.110,0.193,Haas 2011
aleutian skate,GOA,hamel_k.v2,VBGF k (cm-1),0.150,0.263,Haas 2011
aleutian skate,GOA,jensen_k1.v1,VBGF k (cm-1),0.110,0.165,Haas 2011
aleutian skate,GOA,jensen_k1.v2,VBGF k (cm-1),0.150,0.225,Haas 2011
aleutian skate,GOA,jensen_k2.v1,VBGF k (cm-1),0.110,0.176,Haas 2011
aleutian skate,GOA,jensen_k2.v2,VBGF k (cm-1),0.150,0.240,Haas 2011
aleutian skate,GOA,frisk_k.v1,VBGF k (cm-1),0.110,0.173,Haas 2011
aleutian skate,GOA,frisk_k.v2,VBGF k (cm-1),0.150,0.197,Haas 2011
bering skate,BS,hamel_k.v1,VBGF k (cm-1),0.072,0.126,Ainsley 2009
bering skate,BS,hamel_k.v2,VBGF k (cm-1),0.070,0.123,Ainsley 2014
bering skate,BS,jensen_k1.v1,VBGF k (cm-1),0.072,0.108,Ainsley 2009
bering skate,BS,jensen_k1.v2,VBGF k (cm-1),0.070,0.105,Ainsley 2014
bering skate,BS,jensen_k2.v1,VBGF k (cm-1),0.072,0.115,Ainsley 2009
bering skate,BS,jensen_k2.v2,VBGF k (cm-1),0.070,0.112,Ainsley 2014
bering skate,BS,frisk_k.v1,VBGF k (cm-1),0.072,0.144,Ainsley 2009
bering skate,BS,frisk_k.v2,VBGF k (cm-1),0.070,0.143,Ainsley 2014
bering skate,GOA,hamel_k.v1,VBGF k (cm-1),0.061,0.107,Ainsley 2009
bering skate,GOA,hamel_k.v2,VBGF k (cm-1),0.060,0.105,Ainsley 2014
bering skate,GOA,jensen_k1.v1,VBGF k (cm-1),0.061,0.092,Ainsley 2009
bering skate,GOA,jensen_k1.v2,VBGF k (cm-1),0.060,0.090,Ainsley 2014
bering skate,GOA,jensen_k2.v1,VBGF k (cm-1),0.061,0.098,Ainsley 2009
bering skate,GOA,jensen_k2.v2,VBGF k (cm-1),0.060,0.096,Ainsley 2014
bering skate,GOA,frisk_k.v1,VBGF k (cm-1),0.061,0.135,Ainsley 2009
bering skate,GOA,frisk_k.v2,VBGF k (cm-1),0.060,0.134,Ainsley 2014
big skate,BC,hamel_k.v1,VBGF k (cm-1),0.040,0.070,Gburski 2007
big skate,BC,hamel_k.v2,VBGF k (cm-1),0.020,0.035,"King 2010, GROTAG"
big skate,BC,hamel_k.v3,VBGF k (cm-1),0.060,0.105,"King 2010, Fabens"
big skate,BC,hamel_k.v4,VBGF k (cm-1),0.040,0.070,McFarlane et al. 2006
big skate,BC,hamel_k.v5,VBGF k (cm-1),0.040,0.070,McFarlane et al. 2010
big skate,BC,jensen_k1.v1,VBGF k (cm-1),0.040,0.060,Gburski 2007
big skate,BC,jensen_k1.v2,VBGF k (cm-1),0.020,0.030,"King 2010, GROTAG"
big skate,BC,jensen_k1.v3,VBGF k (cm-1),0.060,0.090,"King 2010, Fabens"
big skate,BC,jensen_k1.v4,VBGF k (cm-1),0.040,0.060,McFarlane et al. 2006
